genus,base of range (Ma),top of range (Ma),collections,with abundances,geometric mean abundance
Anictis,33.9,28.4,1,0,NaN
Anilioides,30.8,24.8,3,2,0.3909
Anisaster,41.3,23.03,5,0,NaN
Anisocardia,37.2,33.9,1,0,NaN
Anisocoenia,33.9,28.1,2,0,NaN
Anisocycla,55.8,48.6,1,0,NaN
Anisodonta,55.8,33.9,5,0,NaN
Anisolambda,57,55.8,2,1,0.2
Anisomyon,66,61.6,1,0,NaN
Anisonchus,66,56.8,54,1,0.0679
Anisops,37.2,23.03,11,11,0.1327
Anisorhynchus,37.2,28.1,2,1,0.0175
Anisosiren,47.8,41.3,1,1,1
Anisotoma,37.2,33.9,1,1,0.0053
Ankalagon,63.3,61.7,2,0,NaN
Ankistrosperma,48.6,37.2,1,1,0.0111
Ankylodon,46.2,26.3,14,0,NaN
Annectina,38,23.03,4,0,NaN
Anneslea,38,33.9,1,0,NaN
Anniculus,47.8,41.3,2,2,0.0043
Annona,55.8,48.6,1,1,0.0385
Annoticyathus,56,33.9,1,0,NaN
Anobium,47.8,33.9,7,7,0.0069
Anodonta,47.8,28.4,9,0,NaN
Anodontia,61.6,28.1,46,28,0.0023
Anolbanolis,55.8,50.3,1,0,NaN
Anomala,37.2,23.03,7,7,0.004
Anomalina,66,33.9,17,0,NaN
Anomalinoides,59.2,23.03,29,20,0.0161
Anomalites,38,33.9,1,1,1
Anomalocardia,28.4,23.03,2,0,NaN
Anomalofusus,66,61.6,7,7,0.0105
Anomalon,34,34,4,4,0.0014
Anomalophis,47.8,41.3,1,1,0.5
Anomia,61.6,23.03,162,43,0.0091
Anomocora,37.2,33.9,1,0,NaN
Anomoemys,46.2,37.2,2,0,NaN
Anomotherium,33.9,23.03,4,3,1
Anomotodon,58.7,38,8,0,NaN
Anona,55.8,23.03,3,1,0.125
Anonaspermum,48.6,38,23,3,0.0007
Anonymocarpa,48.6,37.2,1,1,0.0003
Anopheles,28.4,23.03,1,1,0.0009
Anoplotherium,37.2,28.4,24,2,0.1455
Anornithopora,66,61.6,2,2,0.0148
Anosteira,50.3,28.4,20,12,0.4349
Anoura,47.8,41.3,1,0,NaN
Anoxypristis,55.8,33.9,11,0,NaN
Ansomys,33.9,33.3,1,0,NaN
Antalis,66,23.03,72,28,0.012
Antarctiranella,66,61.6,1,1,0.0588
Antarctodarwinella,66,47.8,6,2,0.0282
Antarctodolops,56,38,1,0,NaN
Antarctohoges,56,33.9,10,0,NaN
Antarctoxylon,66,56,1,1,1
Antedon,56,47.8,1,0,NaN
Antepithecus,56,33.9,1,0,NaN
Anthaxia,59.2,28.4,6,6,0.0044
Anthemiphyllia,37.2,33.9,1,0,NaN
Antherophagus,50.3,33.9,3,2,0.0135
Anthicus,66,23.03,3,3,0.0698
Anthidium,37.2,23.03,4,2,0.0034
Anthoclusia,47.8,41.3,2,2,0.0001
Anthocyrtidium,33.9,23.03,4,0,NaN
Antholithes,37.2,23.03,25,0,NaN
Anthomyia,55.8,23.03,9,9,0.0216
Anthomyza,28.4,23.03,1,0,NaN
Anthonomus,66,34,24,20,0.0105
Anthophagus,28.4,23.03,1,1,0.0035
Anthophora,37.2,33.9,1,0,NaN
Anthophorites,28.1,23.03,1,1,0.006
Anthracida,28.4,23.03,1,1,0.3333
Anthracobune,55.8,41.3,7,3,0.2544
Anthracobunodon,47.8,38,3,1,0.0753
Anthracohelops,47.8,41.3,2,2,0.0055
Anthracokeryx,41.3,33.9,7,0,NaN
Anthraconyx,56,47.8,1,1,0.0147
Anthracosenex,48.6,33.9,3,0,NaN
Anthracosuchus,60,58,1,0,NaN
Anthracothema,37.2,33.9,1,0,NaN
Anthracotherium,41.3,28.1,40,17,0.1752
Anthrenus,47.8,41.3,5,5,0.0034
Anthribus,37.2,33.9,1,1,0.0004
Anthropornis,56,33.9,13,10,0.2012
Antiacodon,55.8,40.4,76,12,0.0923
Anticlimax,66,61.6,1,1,0.0004
Antigona,37.2,23.03,32,0,NaN
Antigonia,47.8,41.3,3,0,NaN
Antiguastrea,66,23.03,117,7,0.0453
Antilla,47.8,41.3,1,0,NaN
Antillipecten,33.9,28.1,10,0,NaN
Antillocladius,47.8,41.3,1,1,0.0263
Antillophos,55.8,23.03,11,3,0.0008
Antillophyllia,47.8,23.03,6,0,NaN
Antilloseris,47.8,41.3,9,0,NaN
Antilohyrax,33.9,28.1,1,0,NaN
Antilophos,28.4,23.03,1,0,NaN
Antimelatoma,41.3,38,1,0,NaN
Antiphloeus,56,47.8,1,1,0.0022
Antisolarium,41.3,33.9,2,0,NaN
Antlemon,47.8,41.3,1,1,0.0312
Antocha,37.2,33.9,1,1,0.0004
Antropora,66,28.1,33,0,NaN
Anybia,47.8,41.3,1,1,0.0116
Anyphaena,47.8,41.3,3,3,0.0032
Anystis,47.8,41.3,1,0,NaN
Aoriopsis,56,47.8,1,1,0.0022
Aoteadrillia,33.9,28.4,1,0,NaN
Apalocnemis,47.8,41.3,1,1,0.0001
Apalone,50.3,33.3,14,6,0.0805
Apanteles,28.4,23.03,2,2,0.0009
Apanthesis,37.2,33.9,1,1,0.5
Apataelurus,46.2,40.4,2,0,NaN
Apatemosciaritis,55.8,48.6,1,1,0.0357
Apatemys,55.8,33.9,95,26,0.0456
Apatopygus,55.8,53,6,0,NaN
Apatosciuravus,55.8,50.3,4,0,NaN
Aphaena,50.3,46.2,3,3,0.0188
Aphaenogaster,47.8,23.03,24,24,0.0076
Aphananthe,48.6,23.03,5,1,0.0027
Aphanitoma,28.1,23.03,1,1,0.0009
Aphanocalyx,47.8,41.3,1,0,NaN
Aphanus,47.8,23.03,31,31,0.0305
Apheliscus,56.8,50.3,142,40,0.0172
Aphelotherium,47.8,41.3,1,0,NaN
Aphidecta,33.9,28.4,2,2,0.0059
Aphidioides,47.8,41.3,1,1,0.0016
Aphidius,28.1,23.03,1,1,0.04
Aphidopsis,37.2,33.9,1,1,0.0004
Aphodius,59.2,23.03,24,21,0.0043
Aphrocallistes,66,28.1,7,2,0.0132
Aphrodina,66,61.6,45,44,0.0454
Aphronorus,66,55.8,41,1,0.45
Aphrophora,59.2,23.03,21,21,0.0107
Apicula,33.9,28.4,1,0,NaN
Apicularia,61.6,59.2,1,0,NaN
Apiculatasporites,58.7,37.2,13,13,0.012
Apidium,33.9,28.1,5,0,NaN
Apiocyphraea,33.9,28.1,1,1,0.0036
Apiocypraea,33.9,28.1,1,0,NaN
Apion,59.2,23.03,28,28,0.0075
Apiotoma,47.8,23.03,6,2,0.0269
Apis,28.4,23.03,15,14,0.0507
Apletotomeus,33.9,33.3,2,0,NaN
Aplexa,48.6,37.2,3,3,0.0152
Aploceble,47.8,41.3,4,4,0.0074
Aplocnemus,47.8,41.3,1,1,0.0047
Aplodinotus,50.3,46.2,1,0,NaN
Aplousina,66,41.3,2,1,0.0082
Apocymospermum,37.2,33.9,1,0,NaN
Apocynophyllum,66,23.03,12,1,0.0325
Apocynospermum,59.2,28.1,4,0,NaN
Apodecter,47.8,41.3,1,1,0.1429
Apodendrothrips,47.8,41.3,1,1,0.0014
Apodops,58.7,55.8,1,0,NaN
Apogon,55.8,41.3,9,0,NaN
Apogonidarum,66,59.2,2,2,0.0487
Apolephthisa,47.8,41.3,1,1,0.0263
Apolymetis,48.6,23.03,4,2,0.0018
Apolysis,37.2,33.9,2,2,0.0045
Aporema,37.2,33.9,1,1,0.0004
Aporolepas,41.3,33.9,13,5,0.0453
Aporrhaid,66,61.6,1,1,0.0004
Aporrhais,66,23.03,54,28,0.0012
Apostenus,47.8,41.3,1,1,0.0009
Apriculus,46.2,40.4,1,0,NaN
Aprionodon,47.8,33.9,8,0,NaN
Aprionus,47.8,41.3,2,2,0.0031
Apristurus,47.8,41.3,2,0,NaN
Aprotodon,28.1,23.03,2,0,NaN
Apsectrotanypus,47.8,41.3,1,1,0.0385
Apsendesia,66,61.6,4,0,NaN
Apsilocephala,47.8,33.9,3,3,0.0116
Apsilus,47.8,41.3,1,0,NaN
Apteodinium,28.1,23.03,1,0,NaN
Apternodus,40.4,33.3,32,3,0.0678
Apterodon,33.9,28.4,3,0,NaN
Aptyxis,33.9,28.4,2,1,0.0006
Aquila,50.3,46.2,1,0,NaN
Aquilapollenites,66,61.7,2,1,0.0031
Aquilaria,33.9,23.03,1,0,NaN
Aquilofusus,33.9,23.03,9,5,0.0025
Aquisextana,28.1,23.03,1,1,0.012
Aquitanastraea,28.1,23.03,1,0,NaN
Arabemys,58.7,48.6,1,0,NaN
Araceaeites,33.9,23.03,1,0,NaN
Arachnoidiscus,66,56,3,0,NaN
Arachnopusia,59.2,28.1,3,0,NaN
Aracispermum,56,23.03,16,0,NaN
Aradus,47.8,41.3,16,16,0.0141
Araeodactylus,66,61.6,1,1,0.0069
Aragonia,59.2,47.8,5,5,0.0126
Araiochelys,66,61.6,1,1,0.4
Aralia,66,23.03,27,0,NaN
Araliaceoipollenites,55.8,40.4,9,6,0.006
Araliophyllum,55.8,40.4,2,0,NaN
Aralotherium,28.4,23.03,1,0,NaN
Arambourgisuchus,59.2,56,1,0,NaN
Araneaovoius,37.2,23.03,3,2,0.0018
Araneus,47.8,23.03,14,14,0.0011
Arapahovius,55.8,50.3,2,0,NaN
Araucaria,66,52.22,16,12,0.0158
Araucariacites,58.7,40.4,6,5,0.0184
Araucarioxylon,66,61.6,1,0,NaN
Araucarites,56,38,8,0,NaN
Arbacia,28.4,23.03,1,1,0.3333
Arbacina,28.1,23.03,1,0,NaN
Arbia,33.9,28.1,1,0,NaN
Arca,66,23.03,120,19,0.0083
Arcacythere,37.2,33.9,1,1,0.0022
Archaea,47.8,41.3,23,23,0.0091
Archaeagaon,34,34,2,2,0.0178
Archaebelyta,28.4,23.03,1,1,0.0132
Archaeboletina,47.8,41.3,1,1,0.0001
Archaeibalia,47.8,41.3,1,1,0.0476
Archaeocallirhophalus,47.8,41.3,1,1,0.1429
Archaeocarabus,56,47.8,1,0,NaN
Archaeochrysa,51,26.26,5,5,0.0332
Archaeocrunoecia,47.8,41.3,5,5,0.0009
Archaeocyon,33.3,26.3,22,12,0.067
Archaeodelphis,28.1,23.03,1,1,1
Archaeodictyomitra,66,59.2,28,23,0.011
Archaeodrapetiops,28.1,23.03,4,4,0.041
Archaeohyrax,48,42,1,0,NaN
Archaeolagus,26.3,24.8,3,0,NaN
Archaeolambda,58.7,55.8,4,0,NaN
Archaeolithothamnion,55.8,33.9,3,0,NaN
Archaeolithothamnium,66,23.03,86,0,NaN
Archaeolycorea,28.1,23.03,3,3,1
Archaeomanta,55.8,37.2,12,0,NaN
Archaeomeryx,48.6,33.9,2,1,1
Archaeomnium,37.2,33.9,1,0,NaN
Archaeomonad,66,56,2,1,0.0256
Archaeomys,28.4,23.03,3,0,NaN
Archaeoneureclipsis,47.8,41.3,3,3,0.0002
Archaeonycteris,48.6,47.8,4,0,NaN
Archaeophis,47.8,41.3,1,1,0.5
Archaeophlebia,59.2,56,1,1,0.0172
Archaeopteropus,33.9,28.4,1,0,NaN
Archaeoryctes,58.7,55.8,1,0,NaN
Archaeoscelio,47.8,41.3,5,5,0.0081
Archaeosciaphilus,47.8,41.3,1,1,0.0006
Archaeosepia,38,33.9,1,1,1
Archaeospheniscus,56,25.2,7,7,0.1496
Archaeotetra,48.6,37.2,1,0,NaN
Archaeotherium,37.2,24.8,53,2,0.0707
Archaeothrips,47.8,41.3,1,1,0.0168
Archaeotinodes,47.8,41.3,39,39,0.0014
Archaeotragulus,37.2,33.9,1,0,NaN
Archaeotrogon,37.2,33.9,1,0,NaN
Archaeotypotherium,33.9,28.4,7,0,NaN
Archaesalepta,56,47.8,1,1,0.0385
Archaeterphis,47.8,41.3,1,1,0.0105
Archaias,33.9,28.4,3,0,NaN
Archalia,37.2,33.9,1,1,0.0004
Archanakothrips,47.8,41.3,1,1,0.0084
Archankothrips,47.8,41.3,8,8,0.0027
Archaralites,66,61.6,1,1,0.1
Archeampelos,66,56,5,0,NaN
Archelater,47.8,41.3,4,4,0.0102
Archemyiomma,47.8,41.3,1,1,0.0011
Archeofulvius,47.8,41.3,5,5,0.0068
Archepopovia,47.8,41.3,2,2,0.0092
Archepseudophylla,34,28.1,4,4,0.0342
Archescraptia,47.8,41.3,1,1,0.0003
Archetypomys,55.8,48.6,1,1,1
Archiconiocompsa,47.8,41.3,4,4,0.0145
Archicypraea,66,41.3,3,0,NaN
Archicythereis,38,33.9,5,0,NaN
Archierato,37.2,28.4,3,0,NaN
Archiinocellia,55.8,48.6,1,1,1
Archimediella,38,33.9,1,0,NaN
Archimyrmex,47.8,46.2,11,11,0.2123
Archiponera,37.2,33.9,2,2,0.0036
Archipraon,33.9,28.1,1,1,0.1111
Archipseudophasma,47.8,41.3,13,13,0.0225
Archipsocus,56,41.3,4,4,0.0037
Archiraphidia,37.2,33.9,5,5,0.0011
Archistempellina,47.8,41.3,2,2,0.0011
Archisyrphus,33.9,28.1,1,1,0.1667
Architectonica,66,23.03,379,173,0.0031
Architermes,47.8,41.3,1,1,0.0083
Architinea,47.8,41.3,1,1,0.0116
Archixizicus,47.8,41.3,1,1,0.0385
Archoheia,66,56,1,0,NaN
Archornebius,47.8,41.3,1,1,0.0385
Archotermopsis,47.8,41.3,1,1,0.0081
Arcicornia,55.8,48.6,2,2,0.0119
Arcius,51,51,3,0,NaN
Arcomytilus,66,28.4,5,2,0.0198
Arcopagia,61.7,28.4,88,51,0.0021
Arcoperna,66,23.03,17,6,0.0003
Arcopsis,66,33.9,21,12,0.0027
Arcoscalpellum,66,28.1,9,2,0.1058
Arctica,61.6,23.03,25,7,0.0049
Arcticanodon,55.8,50.3,1,0,NaN
Arcticlam,66,61.6,1,0,NaN
Arctocyon,63.3,56.8,56,2,0.0009
Arctocyonides,61.6,56,5,2,1
Arctodontomys,56.8,50.3,70,12,0.0217
Arctogephyra,47.8,41.3,2,2,0.0003
Arctolepta,47.8,41.3,1,1,0.0001
Arctolocusta,61.6,59.2,1,1,0.3333
Arctomelon,41.3,33.9,1,0,NaN
Arctorthezia,47.8,41.3,3,3,0.0198
Arctostaphylos,33.9,23.03,1,0,NaN
Arctostylops,58.7,55.8,9,0,NaN
Arctotitan,56,33.9,1,0,NaN
Arctuatula,37.2,33.9,3,0,NaN
Arcuatula,66,33.9,6,1,0.0001
Ardynia,37.2,23.03,5,0,NaN
Ardynomys,37.2,28.4,8,0,NaN
Area,56,47.8,2,2,0.0097
Arechia,47.8,41.3,2,0,NaN
Arecipites,58.7,37.2,37,32,0.0115
Arene,56,28.1,4,2,0.1498
Arenobulimina,66,23.03,6,0,NaN
Arescon,47.8,41.3,2,2,0.0002
Arfia,55.8,48.6,146,70,0.0351
Argalista,37.2,34.3,3,0,NaN
Argentina,61.6,23.03,10,7,0.0254
Argentinidarum,61.6,59.2,2,2,0.0035
Argia,37.2,33.9,2,2,0.0275
Argillochelys,47.8,33.9,5,0,NaN
Argilloecia,66,28.1,12,3,0.0039
Arginella,41.3,33.9,7,0,NaN
Arginopsis,41.3,33.9,3,1,0.3333
Argobuccinum,66,23.03,27,11,0.0039
Argochampsa,66,61.6,3,0,NaN
Argopecten,33.9,23.03,6,0,NaN
Argoptochus,37.2,33.9,1,1,0.0056
Argorheomys,40.4,37.2,1,1,1
Argyra,47.8,41.3,4,4,0.0002
Argyresthites,47.8,41.3,2,2,0.0051
Argyrocetus,28.1,23.03,6,6,0.1349
Argyromys,28.1,23.03,2,0,NaN
Argyroneta,28.4,23.03,1,1,0.45
Argyrotheca,66,23.03,98,16,0.1598
Arhopalus,37.2,33.9,1,1,0.025
Ariadna,47.8,41.3,4,4,0.0022
Ariamnes,28.1,23.03,1,1,0.006
Ariidarum,61.6,28.1,3,2,0.0412
Arikareeomys,28.1,23.03,1,0,NaN
Ariosoma,38,23.03,2,1,0.0286
Arisella,41.3,38,1,0,NaN
Aristolochia,46.2,33.9,2,0,NaN
Arisus,47.8,41.3,1,1,0.0095
Arius,61.6,33.9,30,7,0.0186
Arkharia,66,61.6,1,1,0.2
Armantomys,28.4,23.03,1,0,NaN
Arminiheringia,56,33.9,3,0,NaN
Armintodelphys,55.8,46.2,8,2,0.0546
Armintomys,50.3,46.2,1,0,NaN
Arostropsis,47.8,41.3,1,1,0.0031
Arpactodolichopodites,55.8,48.6,1,1,0.0054
Arretotherium,30.8,26.3,2,2,0.0229
Arsenia,61.6,59.2,1,0,NaN
Arsinoea,33.9,28.1,1,0,NaN
Arsinoitherium,41.3,23.03,6,1,1
Arsinotherium,37.2,28.4,1,0,NaN
Artemisiocysta,28.1,23.03,1,0,NaN
Artena,48.6,37.2,1,0,NaN
Arthrodictyna,47.8,41.3,1,1,0.0041
Arthropiella,47.8,41.3,1,1,0.0001
Arthropterites,47.8,41.3,1,1,0.0003
Articulina,28.4,23.03,1,0,NaN
Artimonius,55.8,46.2,10,0,NaN
Artiocetus,47.8,41.3,1,1,0.2
Artipus,50.3,46.2,1,1,0.0435
Artostobium,66,59.2,12,5,0.0054
Artostrobus,66,59.2,22,19,0.0249
Arundo,66,33.9,1,0,NaN
Arvaldus,37.2,33.9,1,1,0.0526
Arvernineura,59.2,56,3,3,0.0782
Asarkina,50.3,46.2,1,1,0.0208
Ascaloptynx,33.9,28.1,1,1,0.0303
Asclepiadites,48.6,37.2,1,0,NaN
Ascogaster,47.8,34,18,18,0.0021
Asconema,33.9,28.1,1,0,NaN
Ascosphaera,48.6,37.2,1,1,0.0033
Ashcemonella,66,61.6,2,0,NaN
Ashleychelys,33.9,23.03,3,2,0.4472
Ashokia,47.8,41.3,1,0,NaN
Ashoroa,28.1,23.03,1,1,1
Ashorocetus,28.1,23.03,1,1,1
Asiabradypus,55.8,50.3,1,0,NaN
Asiacastor,28.1,23.03,2,0,NaN
Asiachrysa,56,47.8,1,1,0.0588
Asiacynipites,55.8,48.6,1,1,0.0054
Asiadapis,56,47.8,1,0,NaN
Asiamordella,55.8,48.6,1,1,0.0054
Asiapterites,55.8,48.6,1,1,0.0054
Asiatendipes,55.8,48.6,1,1,0.0119
Asiatosuchus,66,38,15,0,NaN
Asilopsis,50.3,46.2,1,1,0.0769
Asilus,47.8,23.03,14,11,0.0077
Asimina,66,56,1,0,NaN
Asindulum,47.8,23.03,5,5,0.0003
Asiocnemis,47.8,41.3,1,1,0.0095
Asiocoryphodon,55.8,48.6,1,0,NaN
Asiomomys,47.8,41.3,1,0,NaN
Asiomyceta,55.8,48.6,1,1,0.0054
Asionyctia,58.7,55.8,1,0,NaN
Asmithwoodwardia,58.7,57,2,0,NaN
Asopus,59.2,56,1,1,0.0086
Aspergillus,47.8,41.3,1,1,0.0042
Aspicolpus,47.8,34,7,7,0.0004
Aspidopholas,48.6,23.03,2,1,0.0153
Aspidopleura,47.8,41.3,1,1,0.0952
Aspidostoma,59.2,47.8,2,0,NaN
Aspilota,28.4,23.03,1,1,0.0009
Asplenium,55.8,33.9,5,3,0.0104
Assilina,56,33.9,44,0,NaN
Astacolus,59.2,33.9,6,4,0.0078
Astacus,66,23.03,2,0,NaN
Astarte,66,23.03,100,43,0.0158
Astele,66,33.9,2,1,0.0014
Astephus,46.2,40.4,1,0,NaN
Aster,37.2,33.9,1,0,NaN
Asteriacites,41.3,38,1,0,NaN
Asterigerina,55.8,28.1,9,0,NaN
Asterigina,38,23.03,2,0,NaN
Asterocarpinus,37.2,28.4,6,0,NaN
Asterocyclina,47.8,33.9,8,0,NaN
Asterodiscocyclina,41.3,38,1,0,NaN
Asterosmilia,66,28.1,10,0,NaN
Asthenognathus,47.8,23.03,2,0,NaN
Asthenoscapter,28.4,23.03,1,0,NaN
Asthenoscaptor,28.1,23.03,1,0,NaN
Asthenotoma,47.8,23.03,32,2,0.0092
Astigale,66,61.7,2,0,NaN
Astigmaton,47.8,41.3,1,1,1
Astraea,61.6,23.03,13,0,NaN
Astralium,37.2,28.1,4,0,NaN
Astrangia,61.6,23.03,14,1,0.0269
Astreopora,66,23.03,136,15,0.0406
Astrhelia,37.2,28.1,4,0,NaN
Astriclypeus,28.4,23.03,1,0,NaN
Astrocoenia,66,23.03,149,9,0.0366
Astroconger,28.4,23.03,1,0,NaN
Astronium,46.2,33.9,6,4,0.0053
Astrononion,33.9,28.1,1,0,NaN
Astropecten,66,23.03,3,1,0.8571
Astrophora,33.9,28.1,1,0,NaN
Astrorhiza,55.8,48.6,2,0,NaN
Asturichelys,37.2,33.9,1,0,NaN
Astya,66,33.9,2,0,NaN
Astyris,61.6,38,6,5,0.0006
Asymphylomyrmex,47.8,41.3,2,2,0.0007
Asynapta,47.8,41.3,1,1,0.0001
Atacisaurus,47.8,38,2,0,NaN
Ataenius,47.8,34,7,6,0.0029
Ataktosites,47.8,41.3,1,1,0.025
Atalophlebia,47.8,41.3,1,1,0.0909
Ataphrus,66,59.2,3,1,0.0004
Atarba,34,34,1,1,0.0027
Atavocricetodon,33.9,28.4,6,0,NaN
Ateuchites,28.4,23.03,1,1,0.25
Athalia,37.2,28.1,3,3,0.057
Atherix,47.8,33.9,4,4,0.002
Atheta,47.8,34,2,2,0.0109
Athleta,66,23.03,371,163,0.0074
Athletea,56,47.8,1,0,NaN
Athous,66,33.9,6,6,0.0036
Athrotaxis,33.9,23.03,19,0,NaN
Athyana,46.2,33.9,6,4,0.0195
Atlanta,41.3,28.4,2,0,NaN
Atlanticythere,33.9,23.03,2,2,0.0309
Atlantosuchus,66,61.6,2,0,NaN
Atocus,37.2,33.9,3,3,0.0052
Atomaria,47.8,41.3,2,2,0.0081
Atopocoenia,33.9,23.03,1,0,NaN
Atopotherium,37.2,33.9,1,1,0.5
Atreta,66,33.9,3,0,NaN
Atriaecarpum,48.6,47.8,2,1,0.0011
Atrichopogon,47.8,23.03,2,2,0.0007
Atrichops,37.2,33.9,1,1,0.0189
Atrina,66,23.03,64,26,0.0035
Atropatenocetus,28.1,23.03,1,0,NaN
Attagenus,47.8,33.9,12,12,0.0149
Attenuata,37.2,33.9,1,0,NaN
Attinopora,59.2,47.8,1,1,0.0952
Attockicetus,47.8,41.3,2,2,0.4714
Attoides,28.1,23.03,1,1,0.0045
Aturia,66,23.03,87,12,0.0728
Aturobatis,47.8,33.9,3,0,NaN
Aturoidea,66,41.3,13,10,0.1629
Atyphohelea,47.8,41.3,6,6,0.0007
Atys,66,28.1,28,16,0.0289
Aucuba,33.9,28.4,1,0,NaN
Aulacidea,37.2,33.9,2,2,0.0004
Aulacochelys,37.2,33.9,1,0,NaN
Aulacodiscus,66,56,10,1,0.0395
Aulacomya,61.6,28.4,10,0,NaN
Aulacomyia,47.8,41.3,5,5,0.0026
Aulacus,56,33.9,2,2,0.0064
Aulaxolophus,48.6,37.2,1,1,0.1111
Auletes,34,34,2,2,0.0014
Auliscus,66,56,3,0,NaN
Aulobaris,50.3,33.9,5,5,0.0385
Aulocyathus,66,61.6,1,1,0.0066
Aulolithomys,40.4,33.9,14,0,NaN
Aulonothroscus,47.8,41.3,2,2,0.0072
Aulopopsis,56,47.8,1,0,NaN
Aulosmilia,66,61.6,1,0,NaN
Aulostomus,33.9,28.1,1,0,NaN
Auraria,66,63.3,1,0,NaN
Aurila,33.9,23.03,10,0,NaN
Auroralestes,55.8,50.3,1,0,NaN
Australoecia,37.2,33.9,1,1,0.0001
Australoneilo,66,47.8,44,34,0.0407
Australoportlandia,48.6,41.3,2,0,NaN
Australornis,61.6,59.2,1,0,NaN
Australosymmerus,56,47.8,1,1,0.0714
Austris,47.8,41.3,1,1,0.0238
Austrobalanus,37.2,33.9,1,0,NaN
Austrobuccinum,48.6,33.9,9,0,NaN
Austrocallista,33.9,28.4,3,0,NaN
Austrocidaris,56,47.8,1,0,NaN
Austrocominella,66,28.4,4,0,NaN
Austroficopsis,48.6,38,12,0,NaN
Austrofusus,59.2,23.03,22,7,0.0272
Austrohinnites,28.4,23.03,1,0,NaN
Austrolestidion,37.2,33.9,1,0,NaN
Austrolibellula,58.7,55.8,1,1,0.2
Austrolithes,33.9,28.4,1,0,NaN
Austronucula,59.2,56,1,1,0.0714
Austropanorpa,56,47.8,1,1,0.1071
Austropanorpodes,56,47.8,1,1,0.2
Austroperilestes,56,47.8,1,1,0.2
Austrosialis,56,47.8,1,1,0.5
Austrosphaera,66,61.7,3,0,NaN
Austrosqualodon,27.3,25.2,1,0,NaN
Austrosullivania,48.6,47.8,8,0,NaN
Austrothyris,38,33.9,2,1,1
Austrotindaria,37.2,33.9,1,0,NaN
Austrotoma,48.6,23.03,15,3,0.0488
Austrotrillina,33.9,28.1,2,0,NaN
Austrotriton,37.2,36,1,0,NaN
Autrimpus,47.8,41.3,1,1,1
Auximus,47.8,41.3,3,3,0.0043
Auxontodon,46.2,40.4,6,1,0.0132
Avellana,66,61.7,5,0,NaN
Avenius,56,47.8,1,1,1
Averellia,37.2,33.9,1,0,NaN
Averrhoites,56.8,46.2,87,21,0.0692
Aversovalva,37.2,33.9,2,2,0.0025
Avicula,48.6,33.9,2,0,NaN
Avicularium,37.2,33.9,2,0,NaN
Avitomyrmex,51,51,4,4,0.0598
Aviturus,58.7,55.8,1,0,NaN
Avunculus,63.3,61.7,2,0,NaN
Awateria,47.8,38,3,2,0.0034
Awightipsocus,34,34,8,8,0.0186
Axelella,28.4,28.1,7,4,0.0081
Axestemys,66,46.2,11,9,0.9259
Axinopsida,56,41.3,1,0,NaN
Axinosperma,48.6,37.2,1,1,0.0057
Axinus,66,38,2,0,NaN
Axiopsis,47.8,41.3,1,0,NaN
Axonoscincus,56,47.8,1,0,NaN
Axopora,41.3,33.9,2,0,NaN
Axoseris,37.2,33.9,1,0,NaN
Aycrossia,50.3,46.2,3,0,NaN
Ayllusuchus,55.8,48.6,1,0,NaN
Aysegulina,37.2,33.9,1,1,0.0376
Azabbaremys,66,56,1,0,NaN
Azana,47.8,41.3,1,1,0.0001
Azibius,56,41.3,11,1,0.5
Azolla,66,28.1,61,4,0.1089
Azollopsis,55.8,48.6,1,0,NaN
Azorinus,48.6,37.2,1,1,0.0014
Azygonyx,56.8,50.3,55,7,0.0292
Baataromomys,55.8,48.6,1,0,NaN
Baba,47.8,41.3,1,1,0.0095
Babiacetus,47.8,38,3,3,0.25
Babylonella,61.6,23.03,10,6,0.0132
Babylonia,28.4,23.03,5,0,NaN
Bacarella,59.2,33.9,4,0,NaN
Bachitherium,33.9,28.4,3,0,NaN
Bactridium,41.3,38,5,0,NaN
Bactronella,41.3,38,8,8,0.1656
Baculamonocolpites,55.8,37.2,6,6,0.0097
Baculatisporites,55.8,23.03,6,4,0.0184
Baculites,66,61.6,1,0,NaN
Baculogypsinoides,48.6,37.2,2,0,NaN
Bacumorphomonocolpites,55.8,48.6,1,1,0.1
Bacutriporites,48.6,37.2,1,1,0.0026
Badjcinus,28.4,23.03,1,0,NaN
Baena,63.3,40.4,17,9,0.324
Baetis,47.8,41.3,2,2,0.1129
Baggatella,37.2,33.9,1,0,NaN
Baggina,47.8,23.03,2,0,NaN
Bagous,33.9,28.4,3,3,0.0184
Bahinia,41.3,38,2,1,0.1429
Bahinolophus,41.3,33.9,9,1,1
Bahndwivici,55.8,50.3,1,0,NaN
Baioconodon,66,63.3,50,7,0.116
Baiotomeus,66,56.8,18,0,NaN
Bairdemys,28.1,23.03,1,1,0.2
Bairdia,66,23.03,83,0,NaN
Bairdopilata,56,47.8,1,1,0.0115
Bairdoppilata,47.8,38,8,0,NaN
Bajaichthys,47.8,41.3,1,0,NaN
Balanerodus,33.9,28.4,1,0,NaN
Balaninus,59.2,34,20,18,0.0106
Balanophylla,56,47.8,1,1,0.0061
Balanophyllia,61.7,25.2,148,59,0.009
Balantiostoma,66,61.6,1,1,0.0287
Balanus,55.8,23.03,32,4,0.0047
Balaustium,47.8,41.3,1,0,NaN
Balcis,66,23.03,25,14,0.0019
Balistica,47.8,41.3,2,2,0.0095
